ID,DATE,QUALITY,MIN_5CM,MIN_2M,MEAN_2M,MAX_2M,REL_HUMIDITY,MEAN_WIND_STRENGTH,MAX_WIND_SPEED,SUNSHINE,MEAN_CLOUDINESS,PRECIPITATION,MEAN_PRESSURE
102,2019-12-12,3,,3.3,4.9,5.8,87.54,10.1,17.9,3.433,,,992.46,
102,2019-12-13,3,,2,2.7,3.7,86.08,10.7,21,0.017,,,976.26,
102,2019-12-14,3,,3.6,5.4,6.6,88.67,14.1,26.6,1.667,,,979.45,
102,2019-12-15,3,,4.4,6.3,8.1,81.38,16.3,30.4,4.85,,,989.41,
102,2019-12-16,3,,5.3,6.5,7.9,89.58,9.2,16.3,0.167,,,999.68,
102,2019-12-17,3,,6.1,8.7,12.3,90.25,8.4,17,0,,,995.95,
102,2019-12-18,3,,5.7,6.7,7.9,90.92,8.8,19.9,4.233,,,1008.91,
102,2019-12-19,3,,6,8.2,11.7,83.92,11.2,15.9,5.983,,,1004.79,
102,2019-12-20,3,,6.9,9.3,11.4,75.54,11.7,19.4,0.317,,,985.78,
102,2019-12-21,3,,6.2,7.3,9,86.38,9.1,13.3,3.483,,,984.39,
102,2019-12-22,3,,5.3,6.4,7.4,91.33,7.9,16.1,0.1,,,980.61,
102,2019-12-23,3,,7,7.4,7.9,93.75,11.4,16.7,0.183,,,995.93,
102,2019-12-24,3,,4.8,5.9,7.6,96,6.5,14.2,0,,,1002.74,
102,2019-12-25,3,,5.1,7,7.9,90.79,5.6,12.4,0.433,,,1012.23,
102,2019-12-26,3,,5.1,6.5,7.5,87.83,4.9,13.4,0.85,,,1019.22,
102,2019-12-27,3,,2.4,3.8,5.7,82.29,5.9,12.1,1.45,,,1027.73,
102,2019-12-28,3,,1.6,2.3,3.3,82,6.7,12,0.133,,,1036.54,
102,2019-12-29,3,,1.1,2.8,5.2,78.5,9.4,14.9,0,,,1030.64,
102,2019-12-30,3,,5,6,7.4,70,12.3,18,5.167,,,1020.63,
102,2019-12-31,3,,6.4,7.7,8.2,82.63,8.8,16.2,4.933,,,1026.61,
102,2020-01-01,3,,-1.2,1.6,6.6,95.79,5.4,11.1,0,,,1027.8,
102,2020-01-02,3,,-0.7,1.1,5.2,99.5,9.3,15.4,0,,,1019.09,
102,2020-01-03,3,,5.2,6.8,7.7,91.25,11.7,18.5,0,,,1010.16,
102,2020-01-04,3,,4.8,6.9,7.9,76.42,14,30.1,0.6,,,1018.64,
102,2020-01-05,3,,4.1,5.5,6.7,90.79,7.8,12.3,0,,,1026.55,
102,2020-01-06,3,,3.6,5.4,6.1,92.79,9.2,14,0,,,1018.95,
102,2020-01-07,3,,4,6.2,7.7,94.42,10.6,17.9,5.617,,,1016.24,
102,2020-01-08,3,,6.9,7.8,9.5,97.38,11,18.8,0,,,1014.35,
102,2020-01-09,3,,6.9,9.3,11.6,97.83,9,17.3,0,,,1006.37,
102,2020-01-10,3,,5.8,7.7,11.3,89.54,10.7,18,0.033,,,1010.31,
102,2020-01-11,3,,3.7,5.5,6.9,85.04,12.2,22,0,,,1020.57,
102,2020-01-12,3,,4.5,6.4,8.6,92.71,14.9,20.1,0,,,1010.7,
102,2020-01-13,3,,4.7,6.1,7.2,91.42,10.2,19.5,3.7,,,1010.14,
102,2020-01-14,3,,6.5,8.8,12,89.54,14.4,26.5,1.767,,,996.92,
102,2020-01-15,3,,6.4,9.8,12.1,81.08,15.6,23.8,0.017,,,1002.42,
102,2020-01-16,3,,5.1,6.5,8.4,91.5,10.9,15.4,4.433,,,1017.82,
102,2020-01-17,3,,5.9,7.5,8.9,88.5,10.8,20.9,2.217,,,1009.46,
102,2020-01-18,3,,4,5.3,6.5,87.63,11.9,22.1,0.5,,,1015.1,
102,2020-01-19,3,,5.4,6.7,7.4,81.88,8.7,16,4.733,,,1031.73,
102,2020-01-20,3,,4.7,5.8,6.8,94.79,7.4,11.4,0,,,1040.23,
102,2020-01-21,3,,3.4,4.9,6.4,95.21,9.8,14.6,0.817,,,1034.49,
102,2020-01-22,3,,5.1,6.3,7.1,95.71,8.1,14.9,5.85,,,1030.18,
102,2020-01-23,3,,2.9,4.3,6.2,97.17,5.7,9,0.567,,,1027.32,
102,2020-01-24,3,,1.6,3,3.8,99.92,8.7,12.8,0,,,1017.57,
102,2020-01-25,3,,2.5,3.2,3.8,98.67,9.2,11.9,0,,,1015.52,
102,2020-01-26,3,,0.7,3,5.2,96.96,9.7,14.1,0,,,1010.55,
102,2020-01-27,3,,5.1,6.6,8.2,97.08,9.5,13.8,0,,,999.24,
102,2020-01-28,3,,1.8,5.3,6.7,90.71,12.6,27.4,0,,,984.33,
102,2020-01-29,3,,3.5,5.4,6.9,87.25,12.9,23.5,0.517,,,994.94,
102,2020-01-30,3,,4.6,7.2,8.5,92.54,15,22.7,0,,,996.55,
102,2020-01-31,3,,6.9,8.5,10.4,92.5,13.7,21.3,0.75,,,997.11,
102,2020-02-01,3,,7.5,9.2,10.7,88.5,15,26.4,0.033,,,994.14,
102,2020-02-02,3,,5.2,6.2,7.5,94.13,6.6,20.1,0,,,1000.39,
102,2020-02-03,3,,5.4,7.2,7.9,90.92,11.7,17.8,0.067,,,1000.95,
102,2020-02-04,3,,3.6,6.2,7.3,78.58,11.5,22.5,4.7,,,1005.87,
102,2020-02-05,3,,4.2,5.4,6.2,73.5,7.6,13.5,5.283,,,1027.82,
102,2020-02-06,3,,4.8,6.4,7.1,86.79,7.7,13,0.483,,,1025.41,
102,2020-02-07,3,,4.3,5.9,6.6,80.83,7.1,16.4,0,,,1023.09,
102,2020-02-08,3,,2.4,5.3,7.9,85.88,9.6,14.9,0.8,,,1013.75,
102,2020-02-09,3,,6,8.8,11.5,82.71,18.2,34.5,0,,,991.64,
102,2020-02-10,3,,3.2,6.7,9.5,80.21,19.4,34,2.117,,,980.63,
102,2020-02-11,3,,2.1,5.1,6.5,80.71,22.4,34.8,0.717,,,987.27,
102,2020-02-12,3,,2.1,5.5,6.5,74.92,20.5,35.1,1.967,,,998.78,
102,2020-02-13,3,,2.3,3.6,5.8,91.67,11,20.4,0,,,999.36,
102,2020-02-14,3,,3.6,5.1,6.2,87.46,5.3,13.3,0.417,,,1011.06,
102,2020-02-15,3,,6.1,8.1,11.8,84.71,12.7,23.8,0.833,,,1008.03,
102,2020-02-16,3,,7.2,10.2,12.5,86.67,17,28.6,0,,,991.73,
102,2020-02-17,3,,6.6,7.6,8.9,77.29,16.9,27.8,5.45,,,1000.75,
102,2020-02-18,3,,2.3,6.5,7.6,81.96,15.7,29.3,3.533,,,1007.73,
102,2020-02-19,3,,4.2,5.7,6.8,83.5,13.5,21.8,3.867,,,1007.25,
102,2020-02-20,3,,4,6.7,8.9,90.21,13.4,27.6,0.017,,,1004.31,
102,2020-02-21,3,,4.7,6.8,8.1,81.79,15.6,25.8,1.45,,,1011.61,
102,2020-02-22,3,,6.4,7.8,9.1,84.13,19.3,29.7,0,,,1005.48,
102,2020-02-23,3,,3.6,6,8,86.08,14.5,30,0,,,1004.35,
102,2020-02-24,3,,0.8,5.7,9.9,92.63,12,26,0,,,1004.75,
102,2020-02-25,3,,2.9,5.4,8.2,83.58,18.1,30.1,2.5,,,988.05,
102,2020-02-26,3,,2.9,4.4,5.5,82.75,7.3,15.2,4.517,,,990.51,
102,2020-02-27,3,,1.5,3.4,5.6,87.63,8.1,20.5,1.65,,,995.6,
102,2020-02-28,3,,1.6,5.3,6.4,78.17,12,22.2,7.267,,,1003.96,
102,2020-02-29,3,,1.9,7.2,12.5,85.83,14,30.5,2.517,,,984.67,
102,2020-03-01,3,,3.9,6.3,7.9,74.17,14.1,26.4,4.783,,,984.69,
102,2020-03-02,3,,3.8,5.7,8.2,85.33,8,14.8,2.117,,,986.7,
102,2020-03-03,3,,3.6,5.5,6.5,86.91,7.1,12.4,7.883,,,995.24,
102,2020-03-04,3,,3.1,4.9,6.4,93.5,6.7,10.7,5.117,,,1003.34,
102,2020-03-05,3,,3.4,5.4,7.8,89.46,7,14.2,6.833,,,996.02,
102,2020-03-06,3,,4.6,5.2,5.7,89.67,12.8,17.9,0,,,992.92,
102,2020-03-07,3,,4.7,6.1,8.2,78.17,7.2,13.1,8.95,,,1009.28,
102,2020-03-08,3,,7.4,7.9,9.1,87.17,11.7,18.7,0.217,,,1004.22,
102,2020-03-09,3,,6,6.9,8.1,92.17,8.2,12.4,4.8,,,1004.35,
102,2020-03-10,3,,5.1,8,11.2,94.65,14.6,24.9,0,,,994.53,
102,2020-03-11,3,,6.7,8.2,9.8,83.5,10.8,19.8,10.383,,,1001.59,
102,2020-03-12,3,,4.7,7.3,10.2,74.67,18,32.4,7.3,,,997.61,
102,2020-03-13,3,,3.8,5.8,7,75.96,14.5,26.3,4.45,,,1006.01,
102,2020-03-14,3,,3.7,5.8,8.4,67.83,7.2,17,10.583,,,1016.58,
102,2020-03-15,3,,6.4,8.9,11.3,76.21,11.8,16.9,1.483,,,1008.03,
102,2020-03-16,3,,6.3,7.7,10.4,88.58,6.1,12.3,2.983,,,1014.38,
102,2020-03-17,3,,4.9,7.6,9.8,85.33,8.3,13.9,1.717,,,1021.53,
102,2020-03-18,3,,5.7,7.7,9.2,,9.2,14.9,0,,,1018.78,
102,2020-03-19,3,,5.4,6.4,7.3,90.17,3.5,7.2,3.317,,,1022.55,
102,2020-03-20,3,,4,6.2,7.7,78.13,7.6,16.4,4.9,,,1025.12,
102,2020-03-21,3,,2.7,4.5,6.7,59.38,11.7,16.4,11.15,,,1029.28,
102,2020-03-22,3,,1.6,4,6.5,58.63,9.5,13.2,12.083,,,1032.2,
102,2020-03-23,3,,1.2,4.3,7.9,47.63,8.6,15.4,11.8,,,1032.52,
102,2020-03-24,3,,1.5,5.1,8.5,50.25,9.6,15.5,11.05,,,1029.25,
102,2020-03-25,3,,3.2,6.2,9.7,49.52,7.5,14.9,11.967,,,1026.43,
102,2020-03-26,3,,3.1,6.2,9.2,54.79,7.6,11,12,,,1023.65,
102,2020-03-27,3,,4.4,6.7,9.4,74.63,8.7,13.1,11.783,,,1021.32,
102,2020-03-28,3,,5.4,6.2,6.7,78.04,11,19.9,11.25,,,1020.47,
102,2020-03-29,3,,2.6,4,6,56.88,15.3,26.4,9.967,,,1026.52,
102,2020-03-30,3,,3.2,5.1,6.9,74.29,8.9,18.8,5.217,,,1024.27,
102,2020-03-31,3,,3.2,4,5.2,61.08,5.7,10.4,12.233,,,1026.72,
102,2020-04-01,3,,4.2,5.9,6.7,86.92,9.1,13.6,1.433,,,1015.4,
102,2020-04-02,3,,5.6,6.9,8.8,81,13,21.6,4.067,,,1005.01,
102,2020-04-03,3,,3.6,5.8,6.4,68.21,11.4,20.3,9.067,,,1009.41,
102,2020-04-04,3,,4,8,12.8,69.09,6.2,10.1,10.183,,,1019.62,
102,2020-04-05,3,,6.5,11.5,17.2,52.33,9.1,16.1,12.633,,,1020.06,
102,2020-04-06,3,,7.9,12.5,21.3,60.58,9.3,15.9,12.317,,,1015.67,
102,2020-04-07,3,,7.6,9,11.9,84.17,5.5,9.8,12.333,,,1027.34,
102,2020-04-08,3,,8.5,10.5,12.9,69.13,5.9,12,11.917,,,1022.06,
102,2020-04-09,3,,6.4,8.1,11.1,80.25,6.7,10.6,9.517,,,1022.5,
102,2020-04-10,3,,5.8,6.3,6.8,78.57,4.3,7.4,10.867,,,1024.83,
102,2020-04-11,3,,6.4,10.2,14.8,68.5,4.2,9.1,12.317,,,1021.12,
102,2020-04-12,3,,7.4,10.2,13.5,74.33,6.2,16.3,11.183,,,1011.08,
102,2020-04-13,3,,4,5.8,7.6,62.63,15.4,23.5,8.65,,,1015.96,
102,2020-04-14,3,,4.7,6.1,6.9,68.13,10.1,15.2,5.6,,,1020.39,
102,2020-04-15,3,,6.3,7.7,9.2,80.33,10.2,13.8,12.933,,,1018.3,
102,2020-04-16,3,,7.1,7.9,8.8,88.25,5,9.9,10.55,,,1015.06,
102,2020-04-17,3,,6.1,7.1,9.5,76.17,5.3,10.1,10.25,,,1015.91,
102,2020-04-18,3,,7.1,9.4,11.9,67.79,9.3,15.9,13.483,,,1015.3,
102,2020-04-19,3,,6.7,9.4,12.6,60.58,9.6,14.4,13.817,,,1019.93,
102,2020-04-20,3,,6.2,10.1,14.6,60.63,10.6,15.6,13.917,,,1022.17,
102,2020-04-21,3,,7.2,10.8,14.3,63.33,12.7,17,13.967,,,1021.77,
102,2020-04-22,3,,7.7,11.3,15.8,68.13,9.6,14.1,14.033,,,1022.27,
102,2020-04-23,3,,8.4,12.1,16.8,66,6.3,9.7,13.05,,,1017.7,
102,2020-04-24,3,,6.9,8.7,12.4,83.79,9.5,17.1,5.433,,,1008.76,
102,2020-04-25,3,,7.8,8.4,9,86.96,7.4,12.3,13.067,,,1009.39,
102,2020-04-26,3,,7.5,8,9.3,69.96,3.5,8.1,5.533,,,1008.3,
102,2020-04-27,3,,8.3,10.6,14.3,75.58,4.7,8.9,11.217,,,1003.64,
