ID,SITE,LAT,LONG,HEI,OP
102,Leuchtturm Alte Weser,53.863,8.127,32,DWD
164,Angermuende,53.032,13.991,54,DWD
183,Arkona,54.679,13.434,42,DWD
232,Augsburg,48.425,10.942,462,DWD
282,Bamberg,49.874,10.921,240,DWD
403,Berlin-Dahlem (FU),52.454,13.302,51,DWD
430,Berlin-Tegel,52.564,13.309,36,DWD
433,Berlin-Tempelhof,52.468,13.402,48,DWD
691,Bremen,53.045,8.798,4,DWD
722,Brocken,51.799,10.618,1135,DWD
880,Cottbus,51.776,14.317,69,DWD
891,Cuxhaven,53.871,8.706,5,DWD
954,UFS Deutsche Bucht,54.180,7.459,0,DWD
1048,Dresden-Klotzsche,51.128,13.754,228,DWD
1078,Duesseldorf,51.296,6.769,37,DWD
1228,UFS TW Ems,54.165,6.346,0,DWD
1262,Muenchen-Flughafen,48.348,11.813,446,DWD
1270,Erfurt-Weimar,50.983,10.961,316,DWD
1346,Feldberg/Schwarzwald,47.875,8.004,1490,DWD
1358,Fichtelberg,50.428,12.954,1213,DWD
1420,Frankfurt/Main,50.026,8.521,100,DWD
1468,Freudenstadt,48.454,8.409,797,DWD
1504,Fritzlar (Flugplatz),51.119,9.280,172,DWD
1612,Gera-Leumnitz,50.881,12.129,311,DWD
1639,Giessen/Wettenberg,50.602,8.644,203,DWD
1684,Goerlitz,51.162,14.951,238,DWD
1757,Greifswald,54.097,13.406,2,DWD
1766,Muenster/Osnabrueck,52.134,7.697,48,DWD
1832,Grosser Arber,49.113,13.134,1436,DWD
1975,Hamburg-Fuhlsbuettel,53.633,9.988,14,DWD
2014,Hannover,52.464,9.678,58,DWD
2115,Helgoland,54.175,7.892,4,DWD
2261,Hof,50.312,11.876,565,DWD
2290,Hohenpeissenberg,47.801,11.011,977,DWD
2483,Kahler Asten,51.180,8.489,839,DWD
2559,Kempten,47.723,10.335,705,DWD
2564,Kiel-Holtenau,54.378,10.142,28,DWD
2667,Koeln-Bonn,50.865,7.157,92,DWD
2712,Konstanz,47.695,9.131,428,DWD
2812,Lahr,48.365,7.828,156,DWD
2932,Leipzig/Halle,51.435,12.240,131,DWD
2961,Leuchtturm Kiel,54.500,10.274,31,DWD
3015,Lindenberg,52.209,14.118,98,DWD
3028,Lippspringe. Bad,51.785,8.839,157,DWD
3032,List auf Sylt,55.011,8.412,25,DWD
3126,Magdeburg,52.103,11.583,79,DWD
3196,Marnitz,53.322,11.932,81,DWD
3231,Meiningen,50.561,10.377,450,DWD
3552,Neuruppin,52.904,12.807,38,DWD
3631,Norderney,53.712,7.152,11,DWD
3660,Nuerburg-Barweiler,50.360,6.870,485,DWD
3668,Nuernberg,49.503,11.055,314,DWD
3730,Oberstdorf,47.398,10.276,806,DWD
3761,Oehringen,49.207,9.518,276,DWD
3987,Potsdam,52.381,13.062,81,DWD
4104,Regensburg,49.042,12.102,365,DWD
4177,Rheinstetten,48.973,8.330,116,DWD
4271,Rostock-Warnemuende,54.180,12.081,4,DWD
4336,Saarbruecken-Ensheim,49.213,7.108,320,DWD
4466,Schleswig,54.528,9.549,43,DWD
4625,Schwerin,53.642,11.387,59,DWD
4887,Stoetten,48.666,9.865,734,DWD
4911,Straubing,48.828,12.560,351,DWD
4931,Stuttgart-Echterdingen,48.688,9.223,371,DWD
5100,Trier-Petrisberg,49.748,6.658,265,DWD
5371,Wasserkuppe,50.497,9.943,921,DWD
5397,Weiden,49.666,12.184,440,DWD
5516,Fehmarn,54.528,11.061,3,DWD
5705,Wuerzburg,49.770,9.958,268,DWD
5792,Zugspitze,47.421,10.985,2965,DWD
5839,Emden,53.388,7.229,0,DWD
5856,Fuerstenzell,48.545,13.353,476,DWD
5871,Hahn,49.946,7.264,497,DWD
5906,Mannheim,49.506,8.559,98,DWD
7341,Offenbach-Wetterpark,50.090,8.786,119,DWD
15000,Aachen-Orsbach,50.798,6.024,231,DWD
